oui,companyName
70:B3:D5:34:9,Slat
E4:3A:6E,"Shenzhen Zeroone Tech Co, Ltd"
E4:FD:A1,"Huawei Tech Co, Ltd"
78:CF:2F,"Huawei Tech Co, Ltd"
00:50:C2:16:E,Pmc
70:B3:D5:78:9,Semex-EngCon GmbH
70:B3:D5:88:F,"Quaesta Instruments, Llc"
0.387592592592593,"Samsung Electronics Co, Ltd"
00:90:4B,"Gemtek Tech Co, Ltd"
D0:9C:30,"Foster Electric Co, Ltd"
00:1B:C5:09:6,Sanstreak Corp
44:6C:24,"Reallin Electronic Co, Ltd"
E8:61:BE,Melec Inc
0:11:35,Grandeye Ltd
00:1B:1C,Coherent
00:50:C2:88:E,Cardinal Scale Mfg Co
B4:4F:96,"Zhejiang Xinzailing Tech Co, Ltd"
74:60:FA,"Huawei Tech Co, Ltd"
80:0C:67,"Apple, Inc"
C4:12:34,"Apple, Inc"
00:50:C2:45:C,Deister Electronic GmbH
00:1B:C5:09:A,Shenzhen Guang Lian Zhi Tong Ltd
F0:D1:B8,Ledvance
30:24:78,Sagemcom Broadband Sas
10:08:2C,Texas Instruments
70:B3:D5:DA:9,Rch Vietnam Ltd Liability Co
00:26:3D,Mia Corp
50:4F:94,Loxone Electronics GmbH
70:B3:D5:F3:0,Ade Tech Inc
38:F7:3D,Amazon Tech Inc
70:EF:00,"Apple, Inc"
FC:F2:9F,China Mobile Iot Ltd Co
00:E0:EA,"Innovat Communications, Inc"
0C:84:11,A.O. Smith Water Products
C4:48:38,"Satcom Direct, Inc"
A0:3E:6B:7,SinoGrid Software Systems Inc
C4:30:18,Mcs Logic Inc
34:00:8A:1,Zqam Communications
F0:81:73,Amazon Tech Inc
0:12:00,"Cisco Systems, Inc"
00:50:C2:A9:3,Spx Flow Tech
F0:8B:FE,"Costel.,CoLtd"
34:6F:24,AzureWave Tech Inc
00:A0:1C,Nascent Networks Corp
0.008368055555556,System Spa Dept. Electronics
0.014016203703704,"Guangzhou Unicomp Tech Co, Ltd"
00:11:7D,"Zmd America, Inc"
0.01775462962963,"Shenzhen Baoxin Tech Co, Ltd"
60:64:A1,RADiflow Ltd
70:B3:D5:D9:A,"Wuhan Xingtuxinke ELectronic Co, Ltd"
70:B3:D5:1C:1,Sphere of economical Tech Ltd
0:03:40,"Floware Wireless Systems, Ltd"
00:05:EF,Adoir Digital Tech
00:0F:4D,TalkSwitch
40:D8:55:01:1,Flexim Security Oy
78:9F:4C,Hoerbiger Elektronik GmbH
70:B3:D5:20:A,Golden Grid Systems
70:B3:D5:EE:E,"Sociedad Iberica DE Construcciones Electricas, S.A. (Sice)"
AC:1D:DF:3,Crde
00:50:C2:72:E,Sncf Eim Pays DE Loire
00:1E:19,Gtri
00:50:C2:F9:F,"Nanjing Sac Power Grid Automation Co, Ltd"
D8:3B:BF,Intel Corp
78:6A:1F,"Arris Group, Inc"
00:50:C2:E3:0,Goennheimer Elektronic GmbH
F8:2F:5B,eGauge Systems Llc
54:9A:11:3,Royal Boon Edam International BV
A4:71:74,"Huawei Tech Co, Ltd"
78:D8:00:B,Maddalena S.p.A
00:30:6D,Lucent Tech
00:14:E3,mm-lab GmbH
00:50:C2:D4:9,"Smith Meter, Inc"
9C:EB:E8,"BizLink (Kunshan) Co, Ltd"
A0:3B:01,Kyung In Electronics
00:0B:3E,"BittWare, Inc"
0.016736111111111,"Beijing Siasun Electronic System Co, Ltd"
00:25:4C,"Videon Central, Inc"
00:1F:F5,Kongsberg Defence & Aerospace
00:50:C2:C1:B,Graesslin GmbH
F8:0F:84,Natural Security Sas
C0:6D:1A,"Tianjin Henxinhuifeng Tech Co, Ltd"
70:B3:D5:0F:1,"Beijing One City Science & Tech Co, Ltd"
00:05:BA,"Area Netwoeks, Inc"
0:14:34,"Keri Systems, Inc"
00:18:D4,Unified Display Interface Sig
C4:63:FB,Neatframe AS
78:18:81,AzureWave Tech Inc
F0:45:DA,Texas Instruments
CC:C2:61:B,Winterthur Gas & Diesel Ltd
00:0F:B9,Adaptive Instruments
00:22:6B,"Cisco-Linksys, Llc"
24:F0:FF,"Ght Co, Ltd"
F0:D7:AA,"Motorola Mobility Llc, a Lenovo Co"
70:B3:D5:7D:2,Sdk Kristall
70:B3:D5:B3:6,Cetitec GmbH
00:20:9C,Primary Access Corp
00:50:C2:08:F,General Industries Argentina
48:06:6A,"Tempered Networks, Inc"
00:08:B9,"Kaonmedia Co, Ltd"
A0:91:C8,zte Corp
8C:1F:64:B0:C,Barkodes Bilgisayar Sistemleri Bilgi Iletisim ve Y
20:C8:B3,"Shenzhen Bul-Tech Co, Ltd"
B4:60:77,Sichuan Changhong Electric Ltd
7C:21:0D,"Cisco Systems, Inc"
38:A8:CD:3,"Dongguan Fyrnetics Co, Ltd"
00:20:C1,"Saxa, Inc"
00:02:C7,"Alpsalpine Co,.Ltd"
C4:43:8F,LG Electronics (Mobile Communications)
74:3A:EF,"Kaonmedia Co, Ltd"
D0:8E:79,Dell Inc
00:50:C2:C1:A,"Sam Co, Ltd"
28:04:E0,Fermax Electronica S.A.U.
FC:3F:DB,Hewlett Packard
0:21:02,UpdateLogic Inc
A4:60:32,Mrv Communications (Networks) Ltd
00:1F:58,Emh Energiemesstechnik GmbH
F8:28:19,Liteon Tech Corp
70:B3:D5:97:8,Satixfy Israel Ltd
00:30:E0,Oxford Semiconductor Ltd
00:50:C2:08:1,Matuschek Messtechnik GmbH
00:13:C2,"Wacom Co, Ltd"
E8:18:63:9,Bsm Wireless Inc
70:B3:D5:BF:3,CG-Wireless
70:B3:D5:A6:8,"Zhejiang Zhaolong Interconnect Tech Co, Ltd"
70:B3:D5:DB:A,Kodenshi Corp
5C:A7:21,"New H3c Tech Co, Ltd"
00:1B:8F,"Cisco Systems, Inc"
6C:FD:B9,"Proware Tech Co, Ltd"
D4:E3:3F,Nokia
BC:66:41:1,Global China Tech Ltd
74:A0:63,"Huawei Tech Co, Ltd"
28:36:38:E,Sca Hygiene Products AB
C4:74:F8,"Hot Pepper, Inc"
0:50:32,"Picazo Communications, Inc"
7C:B0:3E,Osram GmbH
60:74:8D,Atmaca Elektronik
00:3C:C5,"Wonwoo Engineering Co, Ltd"
7C:BA:CC:2,Maco Lighting Pty. Ltd
9C:4F:5F,Tap Sound System
00:04:FC,Stratus Tech
00:0B:5C,"Newtech Co, Ltd"
00:50:C2:A3:1,"Coolit Systems, Inc"
70:B3:D5:FC:F,Acc+Ess Ltd
D4:36:DB,"Jiangsu Toppower Automotive Electronics Co, Ltd"
70:B3:D5:48:2,Aeryon Labs Inc
28:AD:18,"Hui Zhou Gaoshengda Tech Co, Ltd"
00:50:C2:08:9,Fenwal Italia S.P.A.
00:1A:9F,A-Link Ltd
08:4E:1C,"H2a Systems, Llc"
00:50:C2:F6:4,Chrisso Tech Llc
74:19:F8:8,Quest Payment Systems
B4:37:D1:2,Fibersystem AB
2C:67:98,InTalTech Ltd
1C:A0:D3:9,"Cirque Audio Tech Co, Ltd"
00:40:9C,Transware
E8:3A:97,Toshiba Corp
00:50:C2:B0:2,Master Co Ltd
EC:3D:FD,Shenzhen Bilian Electronic Coï¼ŒLtd
70:B3:D5:9D:D,HumanEyes Tech Ltd
64:6A:52,Avaya Inc
70:B3:D5:99:5,LayTec AG
C0:98:DA,China Mobile Iot Co Ltd
00:02:B0,"Hokubu Communication & Industrial Co, Ltd"
00:1E:73,zte Corp
D4:00:57,MC Tech GmbH
40:D8:55:02:E,Circuitec Ind. Equip. Eletr. Ltda
3A:BA:37,Cirrent
70:B3:D5:72:5,Swiss Timing Ltd
00:50:C2:54:4,Zetera
00:1E:38,"Bluecard Software Tech Co, Ltd"
00:50:C2:AE:7,Redwood Systems
00:24:A2,Hong Kong Middleware Tech Ltd
7C:67:A2,Intel Corp
00:0D:C6,"DigiRose Tech Co, Ltd"
00:15:F3,Peltor AB
0:16:40,Asmobile Communication Inc
88:AE:1D,"Compal Information (Kunshan) Co, Ltd"
84:18:88,Juniper Networks
DC:17:5A,Hitachi High-Tech Corp
34:00:8A:E,"Shenzhen Wxl Electronics Co, Ltd"
A0:C5:F2:9,Impulse Networks Pte Ltd
3C:24:F0:4,Inter-Coastal Electronics
00:50:C2:10:8,Balogh S.A.
00:13:1C,"LiteTouch, Inc"
00:23:A3,"Arris Group, Inc"
70:B3:D5:FB:1,"Tomei Tsushin Kogyo Co,.Ltd"
28:D9:8A,"Hangzhou Konke Tech Co, Ltd"
70:B3:D5:11:D,Dakton Microlabs Llc
00:10:F6,"Cisco Systems, Inc"
0.008645833333333,"Category Solutions, Inc"
D0:31:10,"Ingenic Semiconductor Co, Ltd"
88:FD:15,"Lineeye Co, Ltd"
1C:C1:DE,Hewlett Packard
3C:06:30,"Apple, Inc"
5C:F2:86:B,Itron UK Ltd
48:25:67,Poly
0:11:42,e-Smartcom Inc
40:8B:F6,"Shenzhen Tcl New Tech Co, Ltd"
08:9B:4B,iKuai Networks
F4:C7:AA,Marvell Semiconductors
00:24:D7,Intel Corp
70:B3:D5:9C:1,"Zeroplus Tech Co, Ltd"
70:B3:D5:F8:A,Frs GmbH & Co KG
D8:71:57,Lenovo Mobile Communication Tech Ltd
54:E3:B0,Jvl Industri Elektronik
00:01:EA,Cirilium Corp
00:50:C2:5B:5,Rafael
70:B3:D5:E8:5,Explorer Inc
88:B1:E1,"Mojo Networks, Inc"
B0:C2:05,Bionime
BC:7E:8B,"Samsung Electronics Co, Ltd"
A4:4C:62,"Hangzhou Microimage Software Co, Ltd"
A4:55:90,Xiaomi Communications Co Ltd
0.001041666666667,Microcom
00:0B:94,"Digital Monitoring Products, Inc"
00:50:C2:E5:F,Pantec Engineering AG
B8:85:7B,"Huawei Tech Co, Ltd"
74:42:8B,"Apple, Inc"
00:50:C2:9E:2,"E-ViEWS Safety Systems, Inc"
0.190613425925926,"Huawei Tech Co, Ltd"
10:5B:AD,Mega Well Ltd
30:C5:07,Eci Telecom Ltd
70:B3:D5:74:9,Granite River Labs Inc
C4:DE:7B,"Huawei Device Co, Ltd"
0:25:11,"Elitegroup Computer Systems Co, Ltd"
9C:FF:BE,Otsl Inc
50:20:6B,Emerson Climate Tech Transportation Solutions
BC:74:D7,"HangZhou JuRu Tech Co, Ltd"
70:B3:D5:7D:1,Schneider Electric Motion Usa
50:97:44,Integrated Device Tech (Malaysia) Sdn. Bhd.
B0:45:02,"Huawei Device Co, Ltd"
0.014675925925926,Isdyne
00:A0:11,Mutoh Industries Ltd
00:09:8B,"Entropic Communications, Inc"
00:1E:13,"Cisco Systems, Inc"
E8:9D:87,Toshiba
94:2D:DC,"Samsung Electronics Co, Ltd"
0.336238425925926,Krg Corp
88:A6:C6,Sagemcom Broadband Sas
5C:A1:E0,EmbedWay Tech
50:DE:19:C,"Shenzhen Vipstech Co, Ltd"
0.014803240740741,Mikron GmbH
0.062928240740741,"Acucomm, Inc"
00:1B:21,Intel Corp
00:23:D1,Trg
EC:49:93,"Qihan Tech Co, Ltd"
04:C9:D9,Dish Tech Corp
00:1C:26,"Hon Hai Precision Ind. Co, Ltd"
0.055659722222222,"Jupiter Systems, Inc"
00:02:8E,"Rapid 5 Networks, Inc"
00:1A:C8,Isl (Instrumentation Scientifique de Laboratoire)
1C:36:BB,"Apple, Inc"
D4:6D:6D,Intel Corp
B4:A2:EB:A,"Hengkangï¼ˆHangzhouï¼‰Co, Ltd"
28:36:13:8,"Fuzhou Lesi Intelligent Tech Co, Ltd"
00:0A:BC,Seabridge Ltd
00:11:FD,Korg Inc
60:B9:82,RO.VE.R. Laboratories S.p.A
00:0C:4F,UDTech Japan Corp
54:64:D9,Sagemcom Broadband Sas
D8:86:0B:8,Vrinda Nano Tech Pvt Ltd
00:C0:18,Lanart Corp
64:BC:11,CombiQ AB
FC:94:6C,Ubivelox
40:D8:55:06:C,Rohde&Schwarz Topex SA
38:FD:FE:4,New Telecom Solutions Llc
0.218784722222222,"Huawei Tech Co, Ltd"
24:ED:FD,Siemens Canada Ltd
00:40:8D,The Goodyear Tire & Rubber Co
00:50:C2:06:8,Seabridge
00:0B:F3,Bae Systems
A0:19:17,Bertel S.p.a.
2C:27:9E:5,AudioNord Distribution A/S
70:B3:D5:C4:A,Tiama
20:CF:AE,"Cisco Systems, Inc"
00:10:2E,Network Systems & Tech Pvt. Ltd
0:50:42,"Sci Manufacturing Singapore Pte, Ltd"
00:50:C2:F9:7,Sicon srl
70:B3:D5:9F:1,Rfel Ltd
28:BC:56,"Emac, Inc"
B4:A2:EB:D,Salzbrenner media GmbH
44:03:77:1,"Atari, Inc"
8:00:13,Exxon
0:05:34,Northstar Engineering Ltd
F8:BC:41,Rosslare Enterprises Ltd
00:50:C2:CD:6,Arktan Systems
40:D8:55:09:3,Sentry 360 Security
4C:F4:5B,Blue Clover Devices
90:45:06,Tokyo Boeki Medisys Inc
18:F2:92,Shannon Systems
DC:E5:33:7,San Engineering
00:00:C2,Information Presentation Tech
0.062881944444445,Innovaphone AG
0.00568287037037,Embedded System Corp
DC:6F:08,Bay Storage Tech
60:A4:D0,"Samsung Electronics Co, Ltd"
D4:6E:0E,"TP-Link Tech Co, Ltd"
0C:73:EB:B,Synaccess Networks
74:45:2D,"Huawei Device Co, Ltd"
00:0B:CD,Hewlett Packard
00:50:C2:F2:3,Electro-Motive Diesel
9C:5D:12,"Extreme Networks, Inc"
60:57:7D,eero Inc
24:0D:C2,Tct mobile Ltd
B0:F9:63,"Hangzhou H3c Tech Co, Ltd"
64:90:C1,"Beijing Xiaomi Mobile Software Co, Ltd"
48:5F:99,Cloud Network Tech (Samoa) Ltd
A8:3F:A1:D,"Shenzhen Bio I/E Co, Ltd"
80:79:5D,Infinix mobility Ltd
B8:37:4A,"Apple, Inc"
B8:F4:D0,Herrmann Ultraschalltechnik GmbH & Co Kg
A4:4F:29:C,Shenzhen Huadoo Bright Group Limitied
70:B3:D5:6E:9,Krontech
14:4F:8A,Intel Corp
00:1B:B0,Bharat Electronics Ltd
28:36:38:7,Innovative Tech Ltd
70:B3:D5:29:E,B2cloud lda
0:00:21,Sureman Co & Commun. Corp
00:13:0C,HF System Corp
2C:C5:48,IAdea Corp
D8:76:AE,"Huawei Tech Co, Ltd"
00:50:C2:1F:6,Bae Systems Controls
40:B3:95,"Apple, Inc"
40:ED:98:6,"Shanghai Broadwan Communications Co, Ltd"
70:B3:D5:3E:9,"Apollo Giken Co, Ltd"
08:67:4E,"Hisense broadband multimedia Tech Co, Ltd"
F8:4E:73,"Apple, Inc"
50:14:B5,"Richfit Information Tech Co, Ltd"
80:7D:3A,Espressif Inc
BC:4A:56,"Cisco Systems, Inc"
0:01:01,Private
00:13:E8,Intel Corp
00:50:C2:4F:1,Packet Island Inc
00:C0:E9,"Oak Solutions, Ltd"
84:AC:FB,Crouzet Automatismes
50:F9:58,"Huawei Device Co, Ltd"
0.768819444444445,"Samsung Electronics Co, Ltd"
40:D8:55:1B:5,A+EC Klein Ingenieurbuero
E4:1E:0A:C,Teletask Belgium
00:60:DC,"Nec Magnus Communications, Ltd"
00:05:4B,Eaton Automation AG
00:13:CF,4Access Communications
00:30:5E,Abelko Innovation
8C:7C:B5,"Hon Hai Precision Ind. Co, Ltd"
CC:E0:DA,"Baidu Online Network Tech (Beijing) Co, Ltd"
70:B3:D5:E8:7,Stackforce GmbH
00:50:C2:4E:5,Sedo Systems Ltd
00:50:C2:A4:6,Softronics Ltd
D0:B6:0A,Xingluo Tech Co Ltd
80:22:75,Beijing Beny Wave Tech Co Ltd
00:2D:76,Titech GmbH
70:B3:D5:1C:3,Shanghai Tiancheng Communication Tech Corp
00:23:E2,Sea Signalisation
48:91:F6,"Shenzhen Reach software Tech Co, Ltd"
C8:93:83,"Embedded Automation, Inc"
64:F8:1C,"Huawei Tech Co, Ltd"
A4:A4:6B,"Huawei Tech Co, Ltd"
0:23:23,Zylin AS
E8:BB:3D,Sino Prime-Tech Ltd
AC:87:A3,"Apple, Inc"
70:B3:D5:C9:C,Connected Response
70:B3:D5:EF:B,Pxm sp.k.
90:C6:82:9,Act
68:FF:7B,"TP-Link Tech Co, Ltd"
2C:1D:B8,"Arris Group, Inc"
10:B3:6F,Bowei Tech Co Ltd
2C:C4:07,machineQ
0.062592592592593,HanA Systems Inc
00:13:2C,Maz Brandenburg GmbH
C0:D3:91:4,Vernier Software & Tech
D0:DF:9A,Liteon Tech Corp
E4:76:84,"Apple, Inc"
00:14:7C,3Com Ltd
00:14:FA,AsGa S.A.
00:23:F4,Masternaut
70:B3:D5:74:2,"Yuyama Mfg Co, Ltd"
9C:2F:73,"Universal Tiancheng Tech (Beijing) Co, Ltd"
90:E2:FC:3,"Shenzhen Hisource Tech Development Co, Ltd"
0:50:02,Omnisec AG
34:A7:BA,Fischer International Systems Corp
70:B3:D5:72:9,"Emac, Inc"
40:D8:55:0C:2,SC Techswarm Srl
E4:6F:13,D-Link International
68:91:D0:4,G-Tech Instruments Inc
D4:3D:39,Dialog Semiconductor
0:24:59,Abb Automation products GmbH
0:25:27,Bitrode Corp
00:50:C2:C9:1,Media Tech Ltd
28:52:F9,"Zhongxin Intelligent Times (Shenzhen) Co, Ltd"
00:50:C2:17:B,Broadstorm Telecom
70:B3:D5:71:0,Guardian Controls International Ltd
F8:2D:7C,"Apple, Inc"
50:5D:AC,"Huawei Tech Co, Ltd"
40:11:75,Ieee Registration Authority
70:B3:D5:13:7,Subject Link Inc
00:23:E8,Demco Corp
78:E7:D1,Hewlett Packard
DC:9A:8E,"Nanjing Cocomm electronics Co, Ltd"
80:56:F2,"Hon Hai Precision Ind. Co, Ltd"
BC:66:41:2,Process-Electronic Sp. z o.o.
00:00:7A,Dana Computer Inc
00:50:C2:3B:E,Pauly Steuer- und Regelanlagen GmbH & Co KG
80:A1:D7,"Shanghai DareGlobal Tech Co, Ltd"
0.017453703703704,"Sumavision Tech Co, Ltd"
E8:BA:70,"Cisco Systems, Inc"
64:0B:4A,Digital Telecom Tech Ltd
9C:7D:A3,"Huawei Tech Co, Ltd"
F0:74:85,"Ngd Systems, Inc"
00:0E:DB,XiNCOM Corp
0:15:48,Cube Tech
00:18:9C,Weldex Corp
AC:7E:01,"Huawei Device Co, Ltd"
00:14:5F,Aditec Co Ltd
58:56:E8,"Arris Group, Inc"
38:EC:11,Novatek Microelectronics Corp
70:B3:D5:E8:8,Breas Medical AB
00:D0:4A,Presence Tech GmbH
00:D0:52,"Ascend Communications, Inc"
00:0C:F1,Intel Corp
CC:46:39,"Waav, Inc"
1C:AE:3E:2,"Linkwise Tech Co, Ltd"
00:50:C2:02:D,Innocor Ltd
00:50:C2:B0:4,Ubiquiti Networks Inc
7C:FA:DF,"Apple, Inc"
00:50:C2:14:5,Elc Lighting
00:1A:C1,3Com Ltd
70:B3:D5:FF:4,Serveron Corp
0:08:31,"Cisco Systems, Inc"
0:13:44,Fargo Electronics Inc
68:EF:BD,"Cisco Systems, Inc"
00:50:C2:D7:F,Hmi Tech
D0:D0:FD,"Cisco Systems, Inc"
AC:3D:05,Instorescreen Aisa
70:B3:D5:5E:4,Dsp Design
90:E2:FC:C,Stanley Security
70:B3:D5:49:C,AC Power Corp
00:1B:54,"Cisco Systems, Inc"
00:25:2C,"Entourage Systems, Inc"
00:50:C2:C1:C,Becton Dickinson
00:50:C2:CE:7,Echola Systems
18:1E:B0,"Samsung Electronics Co, Ltd"
00:DC:B2,"Extreme Networks, Inc"
00:1D:27,Nac-Intercom
0:21:20,Sequel Tech
00:50:C2:99:5,Inter Control Hermann KÃ¶hler Elektrik GmbH&CoKG
E8:6A:64,"Lcfc(HeFei) Electronics Tech Co, Ltd"
A0:28:ED,Hmd Global Oy
34:31:8F,"Apple, Inc"
0.645358796296296,2bps
1C:5E:E6,"Shenzhen Twowing Tech Co, Ltd"
00:10:E9,Raidtec Ltd
00:21:F1,Tutus Data AB
